Id,Name,SKU,content,"Short Description",sku,category,"Gallery Image","Product Image",Download,Image,print-position-1,kop-fran,tariff-stat-nr,standardfarg,tryckyta,logo,material,kapacitet,vikt,dimensioner,certifikat,"price option 50","price option 100","price option 250","price option 500","price option 1000","price option 2500","price option 5000",print-position-2,order-from,tariff-stat-no,color,print-surface,weight,dimensions,certificate,ovrigt,bestall-fran,tryck-storlek,storlek,accessories,version,tariff-stat-nn,input,output,solar-laddning,packaging,capacity,print-position-3,own-design,farg,sizes
179,"Wall Adapter Complete",13619,,"En komplett väggadapter som har allt man kan önska sig! Smart lösning med uttag i mitten för standard kontakter och infällt i produkten finns 3 USB kontakter och en Type C kontakt.  Med en output på hela 4,4 A kan du ladda allt på en gång  och detta snabbt! Dessutom är mittenpartiet utformat för att linda din laddkabel runt när du tar med adaptern på resa! TUV approved för garanterad högsta säkerhet",13619,Laddare/Sladdar,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8f6c86ba.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8f78307d.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8f82ae53.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8f8d5a10.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Wall-adapter-complete_13.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8f622ec4.jpg",https://www.usb.nu/wp-content/uploads/2019/06/Wall-adapter-complete_11b.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Wall-adapter-complete-Pictures_13619.zip"" target=""_blank"" rel=""noopener"">Wall adapter complete_13619_Pic</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Wall-adapter-complete_13619_PAPER-SLEEVE_SIM.pdf"" target=""_blank"" rel=""noopener"">Wall adapter complete_13619_PAPER SLEEVE_SIM</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Wall-adapter-complete-_13619_SIM.pdf"" target=""_blank"" rel=""noopener"">Wall adapter complete _13619_SIM</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/13619-Declaration-of-Conformity.pdf"">13619 Declaration of Conformity</a>

&nbsp;",,730-sv,"50 st",85044060900,"Vit/Vit, Vit/Grå, Vit/Röd, Vit/Blå, Vit/Limegrön",77x77mm,Fullfärg,ABS,-,165g,820x800mm,"CE, Rohs, EMC",109,99,95,93,90,88,85,-,-,-,-,-,-,-,-,"4,4A total output USB, 110-240V vägguttag",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
180,"LED 5in1 cable",13955,,"Smart laddkabel som på ett helt nytt sätt visar er logo i form av LED ljus. Med den nya 5i1 kontakten är det nu möjligt att ladda från Type C till Type C. Laddkontakter som passar för iPhone, Samsung samt Type C ingår!",13955,Laddare/Sladdar,"https://www.usb.nu/wp-content/uploads/2019/06/LED-5in1-cable_13955_NEW_1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2019/06/LED-5in1-cable_13955_NEW_2-scaled.jpg,https://www.usb.nu/wp-content/uploads/2019/06/LED-5in1-cable_13955_NEW_3-scaled.jpg,https://www.usb.nu/wp-content/uploads/2019/06/LED-Laddkabel-5i1_5.jpg,https://www.usb.nu/wp-content/uploads/2019/06/LED-Laddkabel-5i1_7c.jpg",https://www.usb.nu/wp-content/uploads/2019/06/LED-5in1-cable_13955_NEW_1-2.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2019/06/LED-5in1-cable_13955_NEW_Pics.zip"">LED 5in1 cable_13955_NEW_Pics</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/13955_LED-Cable-5in1_SIM.pdf"" target=""_blank"" rel=""noopener"">13955_LED Cable 5in1_SIM</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/13955_LED-cable-5in1_PAPERCARD_SIM.pdf"" target=""_blank"" rel=""noopener"">13955_LED cable 5in1_PAPERCARD_SIM</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/13955-Declaration-of-Conformity-1.pdf"" target=""_blank"" rel=""noopener"">13955 Declaration of Conformity</a>",,725-sv,"50 st",8544429090,Svart/silver,20x10mm,Lasergravyr,TPE-Nylon,"5V max 2A",40g,"35x160 mm","CE, Rohs, EMC",61,49,46,45,43,40,38,-,-,-,-,-,-,-,-,"LED-lampa i vitt från 100 st. Rött, blått eller grönt från 500 st.",-,-,-,-,-,-,-,-,-,735-sv,-,-,-,-,-
181,"Webcam Cover Ideal Mobile and Tablet (18mm)",13601,,"Skydda dig från insyn via kamerahålet på din telefon eller surfplatta. Den passar även MacBook. Ett supertunt skydd som fästs med dubbelhäftande tejp ovanpå linsen. Öppnas och stängs smidigt och kan sitta permanent, utan att plockas bort. En universal produkt som passar merparten av marknadens telefoner och surfplattor. Skyddet levereras monterat på standardkort. Egen design på kort möjligt mot tillägg. Se även vår modell för laptops.",13601,"Laptop-tillbehör,Mobiltillbehör,Säkerhet,iPad-tillbehör","https://www.usb.nu/wp-content/uploads/2019/06/Webcam-cover-Ideal-pro_13601_6.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Webcam-cover-Ideal-pro_13601_1.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Webcam-cover-Ideal-pro_13601_2.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Webcam-cover-Ideal-pro_13601_4.jpg",https://www.usb.nu/wp-content/uploads/2019/06/Webcam-cover-Ideal-pro_13601_7.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Webcam-Cover-Ideal-Mobile-and-Tablet_13601.zip"" target=""_blank"" rel=""noopener"">Webcam Cover Ideal Mobile and Tablet_13601</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Webcam-Cover-18x9_Ideal_SIM_Black.pdf"" target=""_blank"" rel=""noopener"">Webcam Cover 18x9_Ideal_SIM_Black</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/13601-Declaration-of-Conformity.pdf"" target=""_blank"" rel=""noopener"">13601 Declaration of conformity</a>",,"715-sv,210-10s-sv,210-10-3s-sv,210-10-4s-sv,213-13s-sv","250 st",3926909790,"Vit, svart",18x9mm,"Screen, fullfärg",ABS,-,3g,18x9x1mm,Reach,0,0,11,10.50,9,7.50,7,-,-,-,-,-,-,-,-,-,-,-,-,13598-sv,-,-,-,-,-,-,-,-,-,-,-
182,"Webcam cover Laptop Pro (30mm)",13597,,"Skydda dig från insyn via kamerahålet på din laptop. Webcam Cover Pro är ett supertunt (1mm tjock) skydd som fästs med dubbelhäftande tejp ovanpå linsen. Öppnas och stängs smidigt och kan sitta permanent på datorn, utan att plockas bort. En universal produkt som passar merparten av marknadens laptops. Skyddet levereras monterat på standardkort. Egen design på kort möjligt mot tillägg.",13597,"Laptop-tillbehör,Säkerhet","https://www.usb.nu/wp-content/uploads/2019/06/Webcam-Cover-laptop-Pro_13597_1-1.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Webcam-Cover-laptop-Pro_13597_3-1.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Webcam-Cover-laptop-Pro_13597_4-1.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Webcam-Cover-laptop-Pro_13597_6-1.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Webcam-Cover-laptop-Pro_13597_11.jpg",https://www.usb.nu/wp-content/uploads/2019/06/Webcam-Cover-laptop-Pro_13597_2-1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Webcam-Cover-Laptop-Pro_30x135_SIM_13597.pdf"">Webcam Cover Laptop Pro_30x13,5_SIM_13597</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Webcam-Cover-Laptop-Pro_13597.zip"" target=""_blank"" rel=""noopener"">Webcam Cover Laptop Pro Pics 13597</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/13597-Declaration-of-conformity.pdf"" target=""_blank"" rel=""noopener"">13597 Declaration of conformity</a>",,"715-sv,210-10s-sv,210-10-3s-sv,210-10-4s-sv,213-13s-sv","250 st","3926 90 97 90","Vit, svart","18x9mm / 30x13,5mm","Screen, fullfärg","ABS, plast",-,3g,"Skydd: 30x13,5x1mm Kort: 55x85mm",Reach,0,0,11,10.50,9,7.50,7,-,-,-,-,-,-,-,-,-,-,-,-,13598-sv,-,-,-,-,-,-,-,-,-,-,-
183,"Own Design Bluetooth Speaker",13604,"Varför vara lika? Skapa din egen Bluetooth-högtalare i en unik design för bara dig. Det är bara fantasin som sätter gränserna! En högtalare på hela 3W gör denna produkten både otroligt användbar men också totalt unik och iögonfallande.

<strong>Alla designer är individuellt prissatta.</strong>
<em>Exempelpriset gäller designen på huvudbilden (Polisens högtalare).</em>","Varför vara lika? Skapa din egen Bluetooth-högtalare i en unik design för bara dig. Det är bara fantasin som sätter gränserna! En högtalare på hela 3W gör denna produkten både otroligt användbar men också totalt unik och iögonfallande.

<strong>Alla designer är individuellt prissatta.</strong>
<em>Exempelpriset gäller designen på huvudbilden (Polisens högtalare).</em>",13604,"Egen design,Ljud","https://www.usb.nu/wp-content/uploads/2019/06/Own-Design-Bluetooth-Speaker-11-scaled.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Own-Design-Bluetooth-Speaker-01-scaled.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Own-Design-Bluetooth-Speaker-02-scaled.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Own-Design-Bluetooth-Speaker-03-scaled.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Own-Design-Bluetooth-Speaker-04-scaled.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Own-Design-Bluetooth-Speaker-06-scaled.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Own-Design-Bluetooth-Speaker-08-scaled.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Own-design_Production_1.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Own-design_Production_6.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Own-design_Production_5.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Own-design_Production_3.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Own-design_Production_2.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Own-design_Production_7.jpg",https://www.usb.nu/wp-content/uploads/2019/06/Own-Design-Bluetooth-Speaker-09-2-scaled.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Own-Design-Bluetooth-Speaker-PIC.zip"" target=""_blank"" rel=""noopener"">Own Design Bluetooth Speaker PIC</a>",,-,"100 st",-,-,Custom,Custom,"Mjuk PVC",3W,Custom,Custom,"RohS, EMC",,139,119,,,,,-,-,8518210000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,own-design-2,Custom,-
184,"Electro Fire",13599,,"Den elektriska tändaren som drivs med uppladdningsbart litiumbatteri. Ett smart och miljövänligt alternativ. Tänd grillen och levande ljus utan att bekymra dig om gas eller andra drivmedel. Tändaren fungerar genom att bilda en kraftfull varm elektrisk stråle mellan två keramiska elektroder. Den flexibla armen gör det enkelt att tända även på svåråtkomliga ställen, t.ex. i ljuslyktan. Tändaren är säker att använda och är dessutom utrustad med barnspärr. Kan laddas upp, om och om igen med den medföljande USB-laddningskabeln. Levereras i snygg presentförpackning. EU Design skyddad EUIPO.",13599,Övrigt,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b92fbce95.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b9307c480.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b93105c36.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b931ad273.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b93275115.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b92ee1e6f.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Electro-Fire-Pictures.zip"" target=""_blank"" rel=""noopener"">Electro Fire Pictures Bilder</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Electro-Fire_13599_SIM.pdf"" target=""_blank"" rel=""noopener"">Electro Fire_13599_SIM</a>",,"715-sv,210-10s-sv,210-10-3s-sv,210-10-4s-sv","50 st",9613800000,Svart,10x50mm,Screen,"ABS, metall","220mAh Full laddning klarar 100 tändningar",157g,220x25x18mm,RoHS,125,115,110,107,103,99,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,735-sv,-,-,-,-,-
185,"Charging Station 2 Home 5000mAh",13607,,"Laddstation med två powerbanks på vardera 5000mAh. Varje batteri har en individuell LED batteriindikator. Laddningen av batterierna startar när dessa placeras i stationens batterifack. En perfekt produkt för både hem och kontor. Samtliga våra laddare har skydd mot överladdning, urladdning, kortslutning samt överspänning vilket skyddar både powerbank samt enheten som laddas.",13607,"Laddare/Sladdar,Uncategorized,Hemma/Kontor","https://www.usb.nu/wp-content/uploads/2019/06/15bb7b95562bee.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b95630af3.jpg,https://www.usb.nu/wp-content/uploads/2019/06/13706_2S4A6571PM-scaled.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b9570712c.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b957acdd0.jpg,https://www.usb.nu/wp-content/uploads/2019/06/13706_2S4A6580PM-scaled.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b9548e2a1.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Charging-Station-Home-Pictures.zip"">Charging Station Home Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Charging-Station-Home-Simulation-20180207.pdf"" target=""_blank"" rel=""noopener"">Charging Station Home Simulation 20180207</a>",,760-sv,"50 st",8507600065,Svart/silver,32x9mm,"Fullfärg doming","PC, ABS","2x5000mAh, Input: 5V/1,5A , Output: 5V/2,1A",390g,"Powerbank: 92x54x24mm Station: 143x46x21mm","CE, Rohs, EMC",269,259,249,239,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,735-sv,-,-,-,-,-
186,"Samsung Soft TPU cover",10207,,"Lätt och smidigt Samsung-skal i matt TPU. Ett kvalitetsskal med mjuka kanter men med något hårdare baksida. I priset ingår det Fullfärg för digitaltryck ända ut i kanten.

Vi har skal till de vanligaste och allra senaste modellerna på marknaden, är ni osäker kontakta oss.",10207,Mobilskal,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8a636fb9.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8a6d0382.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8a7872d9.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8a8361ca.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8a901585.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8a57883b.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Samsung-TPU-Pictures.zip"" target=""_blank"" rel=""noopener"">Samsung TPU Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Samsung-Galaxy-S9-TPU-Cover-Simulation-20180327.pdf"" target=""_blank"" rel=""noopener"">Samsung Galaxy S9 TPU Cover Simulation 20180327</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Samsung-Galaxy-S9-Plus-TPU-Cover-Simulation-20180927.pdf"" target=""_blank"" rel=""noopener"">Samsung Galaxy S9 Plus TPU Cover Simulation 20180927</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/10207-Declaration-of-Conformity.pdf"" target=""_blank"" rel=""noopener"">10207 Declaration of conformity</a>",,730-sv,"100 st",3926909790,"Vit/Matt, Svart/Matt, Övriga färger vid förfrågan","55x105mm (S8, S8 Edge)",Fullfärgstryck,TPU,-,22g,"De vanligaste och allra senaste modellerna.",Reach,0,32,30,29,28,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
187,"World USB Travel Adapter",13577,,"Kompakt, säker reseadapter och USB-laddare i ett. Skjut enkelt ut stiften i önskad kombination och du har en kompetent strömkälla när du reser runt i världen (passar i över 150 länder) Adaptern har även 4 USB portar med hela 2.4A output per USB port för supersnabb laddning (totalt 5A). Ladda både telefon, platta eller annan USB driven enhet samtidigt, snabbt och säkert!",13577,Laddare/Sladdar,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b9ff4f633.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7ba0002533.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7ba00afacc.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7ba0152ac3.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7ba01ef0a8.jpg,https://www.usb.nu/wp-content/uploads/2019/06/World-Travel-Adaptor-10a.jpg,https://www.usb.nu/wp-content/uploads/2019/06/World-Travel-Adaptor-10.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b9fe94e75.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2019/06/World-Travel-Adaptor-Pictures.zip"" target=""_blank"" rel=""noopener"">World Travel Adaptor Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/World-Travel-Adaptor-Simulation-20180207.pdf"" target=""_blank"" rel=""noopener"">World Travel Adaptor Simulation 20180207</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/13577-Declaration-of-Conformity.pdf"" target=""_blank"" rel=""noopener"">13577 Declaration of Conformity</a>",,"715-sv,211-11m-sv,211-11-3m-sv,211-11-4m-sv,214-14m-sv","500 st","8536 69 90 99","Svart, vit","Ovansida: 38x58mm Sida: 46x58mm","Screen, digitaltryck",PC,-,150g,70x62x50mm,RoHS,,0,0,174.50,166,157,149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,735-sv,-,-,-,-,-
188,"Smartphone Gloves",11280,,"Mjuka och varma touchvantar i 80% bomull. Touchfunktion 3 utav fingrarna för problemfri användning av touchskärm. Finns i tre olika storlekar (small, medium, large).",11280,"Övrigt,Mobiltillbehör",https://www.usb.nu/wp-content/uploads/2019/06/Smartphone-Gloves-HI-8.jpg,https://www.usb.nu/wp-content/uploads/2019/06/labe-1_1l-scaled.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Smartphone-Gloves-Pictures-1.zip"" target=""_blank"" rel=""noopener"">Smartphone Gloves Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Smartphone-Gloves-Large-Simulation-20170913.pdf"" target=""_blank"" rel=""noopener"">Smartphone Gloves Large Simulation 20170913</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/11280-Declaration-of-Conformity.pdf"" target=""_blank"" rel=""noopener"">11280 Declaration of conformity</a>",,263-7-sv,"500 st",6116920000,"Svart (Minst antal att beställa är 500st per design/pris/storlek.",20x20mm,"Screen, brodyr",Bomull,-,60g,"Small: 20cm Medium: 21cm Large: 24cm",Reach,0,70,58,43,34,32,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
189,"Own Design charging cables",13588,,"Trött på att tappa bort just din laddkabel. Slut på det nu. Skapa och designa din helt egen laddkabel. Precis som du vill ha den. Vill du ha med en laddkontakt eller bara med Type C eller med Lighning eller flera samtidigt är helt upp till dig. Egen färg kan du välja också.
Skapa en kabel som garanterat kommer synas och uppmärksammas! Finns inga begränsningar utan låt fantasin flöda.

<strong>Alla designer är individuellt prissatta.</strong>
<em>Exempelpriset gäller designen på huvudbilden (Adidas).</em>",13588,"Laddare/Sladdar,Egen design","https://www.usb.nu/wp-content/uploads/2019/06/13588_Own-Design-Charging-Cables_1.jpg,https://www.usb.nu/wp-content/uploads/2019/06/13588_Own-Design-Charging-Cables_6-scaled.jpg,https://www.usb.nu/wp-content/uploads/2019/06/13588_Own-Design-Charging-Cables_2-scaled.jpg,https://www.usb.nu/wp-content/uploads/2019/06/13588_Own-Design-Charging-Cables_3-scaled.jpg,https://www.usb.nu/wp-content/uploads/2019/06/13588_Own-Design-Charging-Cables_5-scaled.jpg,https://www.usb.nu/wp-content/uploads/2019/06/13588_Own-Design-Charging-Cables_8-scaled.jpg,https://www.usb.nu/wp-content/uploads/2019/06/13588_Own-Design-Charging-Cables_9-scaled.jpg,https://www.usb.nu/wp-content/uploads/2019/06/13588_Own-Design-Charging-Cables_13-scaled.jpg,https://www.usb.nu/wp-content/uploads/2019/06/13588_Own-Design-Charging-Cables_10-scaled.jpg,https://www.usb.nu/wp-content/uploads/2019/06/13588_Own-Design-Charging-Cables_7.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Own-design_Production_1.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Own-design_Production_6.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Own-design_Production_5.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Own-design_Production_3.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Own-design_Production_2.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Own-design_Production_7.jpg",https://www.usb.nu/wp-content/uploads/2019/06/13588_Own-Design-Charging-Cables_4-scaled.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2019/06/13588_Own-Design-Charging-Cables_PIC.zip"" target=""_blank"" rel=""noopener"">13588_Own Design Charging Cables_PIC</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/13588-Declaration-of-Conformity.pdf"" target=""_blank"" rel=""noopener"">13588 Declaration of Conformity</a>

&nbsp;",,-,"100 st",-,Custom,Custom,Custom,"Mjuk PVC",-,-,"12 cm cable","CE, Rohs, EMC",0,54,46,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,own-design-2,-,-
190,"Nordic Speaker",13584,,"Exklusiv och iögonfallande högtalare med riktigt grymt ljud och hela 6 timmars speltid! Bra tyngd och spännande material gör att högtalaren sticker ut från mängden. Strömma musik via Bluetooth eller använd högtalarens AUX eller Micro SD ingångar. Högtalaren har inbyggd handsfree vid Bluetooth-samtal. Laddas via micro-USB (kabel medföljer). Levereras i snygg presentask.",13584,Ljud,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b9a80c665.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b9a8b17e7.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Bluetooth-Speaker-Nordic-01a.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Bluetooth-Speaker-Nordic-04a.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Bluetooth-Speaker-Nordic-02.jpg,https://www.usb.nu/wp-content/uploads/2019/06/Bluetooth-Speaker-Nordic-GRAVYR-EXEMPEL-01.jpg,https://www.usb.nu/wp-content/uploads/2019/06/IMG_0213.jpg",https://www.usb.nu/wp-content/uploads/2019/06/Bluetooth-Speaker-Nordic-01a-1.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Nordis-Speaker-Bluetooth_13584_PIC.zip"" target=""_blank"" rel=""noopener"">Nordis Speaker Bluetooth_13584_PIC</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/13584_Nordic-Speaker-Bluetooth_SIM.pdf"" target=""_blank"" rel=""noopener"">13584_Nordic Speaker Bluetooth_SIM</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/13584_Bluetooth-Speaker-Nordic_Manual.pdf"" target=""_blank"" rel=""noopener"">13584Bluetooth Speaker Nordic_Manual</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/13584-Declaration-of-Conformity.pdf"" target=""_blank"" rel=""noopener"">13584 Declaration of Conformity</a>",,"725-sv,202-1-sv","50 st",8518210000,Svart,"Gravyr: 23x20mm Prägling: 50x13mm","Gravyr, prägling",Metall,"Högtalare: 3,2W Batteri: 600mAh",308g,88x37mm,"CE, Rohs, EMC",255,235,223,216,208,200,192,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,735-sv,-,-,-,-,-
191,"iPhone All Over cover",13400,,"Mobilskal med exklusivt all over tryck och gummerad yta. Tryck ditt motiv eller logga över hela baksidan och ner på kanterna. Mycket effektfullt och stilrent. Finns både som hårt PC skal och mjuk TPU.

Vi har skal till de vanligaste och allra senaste modellerna på marknaden, är ni osäker kontakta oss.",13400,Mobilskal,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7ac21207.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7acce753.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7ad819c5.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7ae32eac.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7aedce44.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7ab5eb91.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2019/06/iPhone-Cover-All-Over-Pictures.zip"">iPhone Cover All Over Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/iPhone-7-Cover-All-Over-Simulation.pdf"" target=""_blank"" rel=""noopener"">iPhone 7 Cover All Over Simulation</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/13400-Declaration-of-Conformity.pdf"" target=""_blank"" rel=""noopener"">13400 Declaration of conformity</a>",,730-sv,"500 st",3926909790,"Svart, vit","Heltäckande baksida och sidor","Vattentransfer fullfärg",PC,-,15g,"Alla senaste modeller",Reach,0,0,0,34,29.50,27,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
192,"Samsung All Over cover",11667,,"Mobilskal med exklusivt all over tryck och gummerad yta. Tryck ditt motiv eller logga över hela baksidan och ner på kanterna. Mycket effektfullt och stilrent. Finns både som hårt PC skal och mjuk TPU. Ett skal som garanterat sticker ut!

Vi har skal till de vanligaste och allra senaste modellerna på marknaden, är ni osäker kontakta oss.",11667,Mobilskal,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b798d7863.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b799b89df.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b79a68e6d.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b79b0f1f7.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b79b8cfa2.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7980aa64.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Samsung-Cover-All-Over-Pictures.zip"">Samsung Cover All Over Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/11667-Declaration-of-Conformity.pdf"" target=""_blank"" rel=""noopener"">11667 Declaration of conformity</a>",,730-sv,"500 st",3926909790,"Svart, vit","Heltäckande baksida och sidor","Vattentransfer fullfärg",PC,-,19g,"De vanligaste och allra senaste modellerna.",Reach,0,0,0,36,31.50,29,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
